t,right_hip1_joint
0.000000,0.300000000
0.002500,0.300000000
0.005000,0.300000000
0.007500,0.300000000
0.010000,0.299818518
0.012500,0.299667083
0.015000,0.299501083
0.017500,0.299308598
0.020000,0.299086460
0.022500,0.298833879
0.025000,0.298550732
0.027500,0.298237092
0.030000,0.297893102
0.032500,0.297518934
0.035000,0.297114783
0.037500,0.296680859
0.040000,0.296217394
0.042500,0.295724632
0.045000,0.295202836
0.047500,0.294652287
0.050000,0.294073283
0.052500,0.293298938
0.055000,0.292784326
0.057500,0.291982328
0.060000,0.291426915
0.062500,0.290561153
0.065000,0.289799449
0.067500,0.289022222
0.070000,0.288220545
0.072500,0.287394097
0.075000,0.286543293
0.077500,0.285668629
0.080000,0.284770627
0.082500,0.283849828
0.085000,0.282906792
0.087500,0.281942098
0.090000,0.280956346
0.092500,0.279950154
0.095000,0.278924158
0.097500,0.277879017
0.100000,0.276815407
0.102500,0.275734023
0.105000,0.274635581
0.107500,0.273520815
0.110000,0.272390479
0.112500,0.271245346
0.115000,0.270086207
0.117500,0.268913873
0.120000,0.267729174
0.122500,0.266532957
0.125000,0.265326088
0.127500,0.264109453
0.130000,0.262883952
0.132500,0.261650505
0.135000,0.260410049
0.137500,0.259163537
0.140000,0.257911939
0.142500,0.256656241
0.145000,0.255397444
0.147500,0.254136565
0.150000,0.252874635
0.152500,0.251612699
0.155000,0.250351816
0.157500,0.249093058
0.160000,0.247837508
0.162500,0.246586262
0.165000,0.245340428
0.167500,0.244101121
0.170000,0.242869468
0.172500,0.241646606
0.175000,0.240433676
0.177500,0.239231830
0.180000,0.238042223
0.182500,0.236866019
0.185000,0.235704384
0.187500,0.234558489
0.190000,0.233429505
0.192500,0.232318609
0.195000,0.231226974
0.197500,0.230155776
0.200000,0.229106188
0.202500,0.228079381
0.205000,0.227076522
0.207500,0.226098773
0.210000,0.225147292
0.212500,0.224223227
0.215000,0.223327721
0.217500,0.222461905
0.220000,0.221626901
0.222500,0.220823819
0.225000,0.220223516
0.227500,0.219331861
0.230000,0.218775462
0.232500,0.217965222
0.235000,0.217466733
0.237500,0.216906133
0.240000,0.216355810
0.242500,0.215837036
0.245000,0.215356651
0.247500,0.214917328
0.250000,0.214520501
0.252500,0.214167217
0.255000,0.213858382
