t,left_hip1_joint
0.000000,0.300000000
0.002500,0.300000000
0.005000,0.300000000
0.007500,0.300000000
0.010000,0.300201475
0.012500,0.300376682
0.015000,0.300575101
0.017500,0.300811325
0.020000,0.301090428
0.022500,0.301414795
0.025000,0.301785984
0.027500,0.302205249
0.030000,0.302673689
0.032500,0.303192286
0.035000,0.303761920
0.037500,0.304383375
0.040000,0.305057337
0.042500,0.305784396
0.045000,0.306565043
0.047500,0.307643897
0.050000,0.308361165
0.052500,0.309515507
0.055000,0.310314521
0.057500,0.311599976
0.060000,0.312744362
0.062500,0.313925594
0.065000,0.315159114
0.067500,0.316445975
0.070000,0.317785802
0.072500,0.319177993
0.075000,0.320621840
0.077500,0.322116539
0.080000,0.323661194
0.082500,0.325254819
0.085000,0.326896337
0.087500,0.328584583
0.090000,0.330318308
0.092500,0.332096178
0.095000,0.333916778
0.097500,0.335778613
0.100000,0.337680112
0.102500,0.339619630
0.105000,0.341595448
0.107500,0.343605780
0.110000,0.345648773
0.112500,0.347722510
0.115000,0.349825016
0.117500,0.351954256
0.120000,0.354108142
0.122500,0.356284533
0.125000,0.358481243
0.127500,0.360696038
0.130000,0.362926644
0.132500,0.365170749
0.135000,0.367426005
0.137500,0.369690032
0.140000,0.371960420
0.142500,0.374234736
0.145000,0.376510523
0.147500,0.378785306
0.150000,0.381056592
0.152500,0.383321879
0.155000,0.385578651
0.157500,0.387824388
0.160000,0.390056566
0.162500,0.392272661
0.165000,0.394470151
0.167500,0.396646519
0.170000,0.398799257
0.172500,0.400925869
0.175000,0.403023872
0.177500,0.405090801
0.180000,0.407124208
0.182500,0.409121671
0.185000,0.411080791
0.187500,0.412999196
0.190000,0.414874545
0.192500,0.416704531
0.195000,0.418486880
0.197500,0.420219356
0.200000,0.421899763
0.202500,0.423525948
0.205000,0.425095803
0.207500,0.426607266
0.210000,0.428058322
0.212500,0.429447011
0.215000,0.430771425
0.217500,0.432029709
0.220000,0.433220069
0.222500,0.434340768
0.225000,0.435390132
0.227500,0.436366547
0.230000,0.437268468
0.232500,0.438094415
0.235000,0.438676649
0.237500,0.439494077
0.240000,0.439962748
0.242500,0.440452178
0.245000,0.440888115
0.247500,0.441249213
0.250000,0.441528803
0.252500,0.441724372
0.255000,0.441834639
