t,right_knee_joint
0.580000,-0.832943593
0.582500,-0.834608033
0.585000,-0.836297458
0.587500,-0.838010535
0.590000,-0.839745917
0.592500,-0.841502239
0.595000,-0.843278123
0.597500,-0.845072178
0.600000,-0.846882999
0.602500,-0.848709172
0.605000,-0.850549272
0.607500,-0.852401864
0.610000,-0.854265507
0.612500,-0.856138754
0.615000,-0.858020149
0.617500,-0.859908236
0.620000,-0.861801552
0.622500,-0.863698635
0.625000,-0.865598019
0.627500,-0.867498242
0.630000,-0.869397840
0.632500,-0.871295352
0.635000,-0.873189322
0.637500,-0.875078298
0.640000,-0.876960832
0.642500,-0.878835485
0.645000,-0.880700824
0.647500,-0.882555426
0.650000,-0.884397875
0.652500,-0.886016359
0.655000,-0.888021065
0.657500,-0.889625127
0.660000,-0.891595186
0.662500,-0.893166712
0.665000,-0.895093438
0.667500,-0.896627456
0.670000,-0.898504976
0.672500,-0.899996815
0.675000,-0.901609791
0.677500,-0.903222802
0.680000,-0.904812801
0.682500,-0.906374616
0.685000,-0.907906345
0.687500,-0.909406691
0.690000,-0.910874489
0.692500,-0.912308615
0.695000,-0.913707973
0.697500,-0.915071491
0.700000,-0.916398122
0.702500,-0.917686847
0.705000,-0.918936669
0.707500,-0.920146621
0.710000,-0.921315761
0.712500,-0.922443175
0.715000,-0.923527978
0.717500,-0.924569312
0.720000,-0.925566347
0.722500,-0.926518286
0.725000,-0.927424359
0.727500,-0.928283825
0.730000,-0.929095976
0.732500,-0.929860134
0.735000,-0.930575652
0.737500,-0.931241916
0.740000,-0.931858340
0.742500,-0.932424375
0.745000,-0.932939502
0.747500,-0.933262026
0.750000,-0.933784862
0.752500,-0.934048642
0.755000,-0.934327269
0.757500,-0.934581946
0.760000,-0.934795896
0.762500,-0.934961794
0.765000,-0.935076380
0.767500,-0.935138149
0.770000,-0.935146365
0.772500,-0.935100641
0.775000,-0.935100641
0.777500,-0.934885086
0.780000,-0.934885086
0.782500,-0.934885086
0.785000,-0.934264100
0.787500,-0.934264100
0.790000,-0.933493871
0.792500,-0.932868716
0.795000,-0.932273803
0.797500,-0.931660754
0.800000,-0.931009297
0.802500,-0.930311052
0.805000,-0.929562683
0.807500,-0.928763008
0.810000,-0.927551296
0.812500,-0.926857517
0.815000,-0.925625967
0.817500,-0.924871669
0.820000,-0.923521111
0.822500,-0.922344049
0.825000,-0.921158698
0.827500,-0.919932614
0.830000,-0.918660522
0.832500,-0.917342112
0.835000,-0.915978002
0.837500,-0.914569015
0.840000,-0.913116040
0.842500,-0.911620014
0.845000,-0.910081917
0.847500,-0.908502766
0.850000,-0.906883621
0.852500,-0.905225584
0.855000,-0.903529795
0.857500,-0.901797436
0.860000,-0.900029731
0.862500,-0.898227942
0.865000,-0.896393374
0.867500,-0.894527373
0.870000,-0.892631323
0.872500,-0.890706651
0.875000,-0.888754823
0.877500,-0.886519635
0.880000,-0.884725886
0.882500,-0.882480823
0.885000,-0.880651865
0.887500,-0.878362661
0.890000,-0.876257368
0.892500,-0.874152505
0.895000,-0.872035119
0.897500,-0.869905880
0.900000,-0.867766571
0.902500,-0.865619097
0.905000,-0.863465408
0.907500,-0.861307492
0.910000,-0.859147372
0.912500,-0.856987110
0.915000,-0.854828800
0.917500,-0.852674575
0.920000,-0.850526602
0.922500,-0.848387082
0.925000,-0.846258250
0.927500,-0.844142377
0.930000,-0.842041765
0.932500,-0.839958754
0.935000,-0.837895713
0.937500,-0.835855048
0.940000,-0.833839198
0.942500,-0.831850636
0.945000,-0.829891872
0.947500,-0.827965450
0.950000,-0.826073955
0.952500,-0.824220010
0.955000,-0.822406281
0.957500,-0.820635481
0.960000,-0.818910374
