cycle_idx,motor_id,commanded_position_rad,actual_position_rad,motor_velocity_rads,motor_torque_nm,motor_temperature_c,commanded_timestamp_ns,feedback_timestamp_ns
0,4,-1.0471792290442163,-1.0327840835129627,0.02151554918057741,-1.395306253242592,22.0,1771020560696072991,1771020560697485930
1,4,-1.040618905763779,-1.033167590413636,-0.027466658528396692,-1.527146214178896,22.0,1771020560698558308,1771020560699698270
2,4,-1.0340411696908363,-1.0327840835129627,0.028839991454816527,-1.1975463118381358,22.0,1771020560701069942,1771020560702426624
3,4,-1.0274663884209934,-1.0327840835129627,0.006408886989959228,-1.0693685720389379,22.0,1771020560703557845,1771020560704625902
4,4,-1.0208971645556173,-1.0327840835129627,0.04623554185613443,-0.8459730826746448,22.0,1771020560706053188,1771020560707068297
5,4,-1.0143331018837056,-1.0324005766122895,0.1048310800500507,-0.7470931119724167,22.0,1771020560708552347,1771020560709611377
6,4,-1.0077779262179118,-1.0324005766122895,0.11352885525070966,-0.633564256721697,22.0,1771020560711058808,1771020560712199922
7,4,-1.0012325088470446,-1.0320170697116162,0.21378215887936092,-0.4467909787285995,22.0,1771020560713569304,1771020560714830000
8,4,-0.9946991147742043,-1.03125005591027,0.21378215887936092,-0.26367992187262157,22.0,1771020560716069421,1771020560717418992
9,4,-0.9881777859010629,-1.0304830421089235,0.307168797875913,-0.025635547959836913,22.0,1771020560718558430,1771020560719881516
10,4,-0.9816712235832104,-1.029716028307577,0.3767509994811846,0.2966399121066843,22.0,1771020560721070119,1771020560722456192
11,4,-0.9751803680178643,-1.0289490145062308,0.34150212103640887,0.41383098849451017,22.0,1771020560723558091,1771020560724656780
12,4,-0.9687087221927915,-1.027798493804211,0.44907986693929924,0.5456709494308409,22.0,1771020560726070555,1771020560727427705
13,4,-0.9622547619067345,-1.0262644662015183,0.5223242896816904,0.6225775933103517,22.0,1771020560728558728,1771020560729898007
14,4,-0.9558226410504139,-1.0251139454994986,0.5639820551164287,0.8569597460860034,22.0,1771020560731058672,1771020560732298564
15,4,-0.9494125096445996,-1.0231964109961327,0.713675344096194,0.9082308420056773,22.0,1771020560733558798,1771020560734707775
16,4,-0.9430268859994425,-1.02166238339344,0.7109286782433544,1.018097476119264,22.0,1771020560736058931,1771020560737257018
