t,right_hip1_joint,right_hip2_joint,right_thigh_joint,right_knee_joint,right_ankle_joint
0.180000,0.238042223,-0.000013971,-0.000039356,-0.781516514,0.480225465
0.182500,0.236866019,-0.000014223,-0.000040092,-0.781041467,0.479810035
0.185000,0.235704384,-0.000014470,-0.000040817,-0.780568182,0.479398277
0.187500,0.234558489,-0.000014713,-0.000041532,-0.780097313,0.478990655
0.190000,0.233429505,-0.000014953,-0.000042236,-0.779629527,0.478587640
0.192500,0.232318609,-0.000015187,-0.000042928,-0.779165504,0.478189707
0.195000,0.231226974,-0.000015417,-0.000043608,-0.778705936,0.477797338
0.197500,0.230155776,-0.000015642,-0.000044274,-0.778251522,0.477411015
0.200000,0.229106188,-0.000015862,-0.000044926,-0.777802973,0.477031228
0.202500,0.228079381,-0.000016077,-0.000045564,-0.777361006,0.476658466
0.205000,0.227076522,-0.000016286,-0.000046186,-0.776926346,0.476293222
0.207500,0.226098773,-0.000016489,-0.000046791,-0.776499721,0.475935990
0.210000,0.225147292,-0.000016687,-0.000047380,-0.776081864,0.475587265
0.212500,0.224223227,-0.000016878,-0.000047952,-0.775673509,0.475247543
0.215000,0.223327721,-0.000017062,-0.000048505,-0.775275392,0.474917318
0.217500,0.222461905,-0.000017240,-0.000049039,-0.774888248,0.474597082
0.220000,0.221626901,-0.000017412,-0.000049553,-0.774512807,0.474287327
0.222500,0.220823819,-0.000017576,-0.000050047,-0.774149800,0.473988541
0.225000,0.220223516,-0.000017697,-0.000050420,-0.773899643,0.473772356
0.227500,0.219331861,-0.000017881,-0.000050969,-0.773477024,0.473434948
0.230000,0.218775462,-0.000017993,-0.000051314,-0.773238248,0.473232197
0.232500,0.217965222,-0.000018159,-0.000051811,-0.772848401,0.472923182
0.235000,0.217466733,-0.000018259,-0.000052120,-0.772632185,0.472740476
0.237500,0.216906133,-0.000018373,-0.000052467,-0.772381409,0.472532956
0.240000,0.216355810,-0.000018484,-0.000052807,-0.772128007,0.472326987
0.242500,0.215837036,-0.000018590,-0.000053127,-0.771885041,0.472131411
0.245000,0.215356651,-0.000018687,-0.000053423,-0.771657783,0.471949397
0.247500,0.214917328,-0.000018777,-0.000053693,-0.771448513,0.471782257
0.250000,0.214520501,-0.000018857,-0.000053936,-0.771258404,0.471630688
0.252500,0.214167217,-0.000018928,-0.000054151,-0.771088223,0.471495174
0.255000,0.213858382,-0.000018990,-0.000054339,-0.770938576,0.471376120
0.257500,0.213594843,-0.000019043,-0.000054498,-0.770809999,0.471273894
0.260000,0.213377406,-0.000019086,-0.000054628,-0.770702981,0.471188842
0.262500,0.213206844,-0.000019119,-0.000054728,-0.770617977,0.471121291
0.265000,0.213206844,-0.000019119,-0.000054728,-0.770617977,0.471121291
0.267500,0.213206844,-0.000019119,-0.000054728,-0.770617977,0.471121291
0.270000,0.213039556,-0.000019151,-0.000054826,-0.770537422,0.471055832
0.272500,0.213039556,-0.000019151,-0.000054826,-0.770537422,0.471055832
0.275000,0.213039556,-0.000019151,-0.000054826,-0.770537422,0.471055832
0.277500,0.213039556,-0.000019151,-0.000054826,-0.770537422,0.471055832
