cycle_idx,motor_id,commanded_position_rad,actual_position_rad,motor_velocity_rads,motor_torque_nm,motor_temperature_c,commanded_timestamp_ns,feedback_timestamp_ns
0,4,-1.0471950197832869,-1.033167590413636,-0.019226660969877685,-1.4209418012024289,22.0,1771020511389494201,1771020511390947279
1,4,-1.0455547281144442,-1.033167590413636,0.0054933317056793385,-1.4099551377910702,22.0,1771020511391977257,1771020511393128624
2,4,-1.0439097823035177,-1.033167590413636,0.060884426404616,-1.3330484939115594,22.0,1771020511394490070,1771020511395905700
3,4,-1.0422648872293447,-1.033167590413636,0.030671102023376307,-1.311075167088842,22.0,1771020511396978910,1771020511398160321
4,4,-1.0406201814243448,-1.033167590413636,-0.003662221137119559,-1.237830744346451,22.0,1771020511399489428,1771020511400893755
5,4,-1.0389755862881327,-1.0335510973143092,-0.02059999389629752,-1.1938840907010162,22.0,1771020511401990963,1771020511403312653
6,4,-1.0373308673468837,-1.033167590413636,-0.03799554429761709,-1.102328562273014,22.0,1771020511404479102,1771020511405837372
7,4,-1.0356864361297655,-1.033167590413636,0.04806665242469421,-1.0473952452162205,22.0,1771020511406991557,1771020511408248167
8,4,-1.034042324516401,-1.0327840835129627,0.13046662800988762,-1.0034485915707858,22.0,1771020511409477405,1771020511410813286
9,4,-1.0323982264113603,-1.0327840835129627,0.03204443494979614,-0.985137485885188,22.0,1771020511411991407,1771020511413318593
10,4,-1.0307544006379128,-1.0324005766122895,0.08285775322733335,-0.9631641590624707,22.0,1771020511414479930,1771020511415858371
11,4,-1.029111062505662,-1.0324005766122895,0.08148442030091352,-0.9082308420056773,22.0,1771020511416990232,1771020511418353613
12,4,-1.0274677351037447,-1.0320170697116162,0.1048310800500507,-0.860621967223123,22.0,1771020511419479326,1771020511420643608
13,4,-1.025824787593885,-1.0316335628109432,0.15747550889614437,-0.8386486404004057,22.0,1771020511421990040,1771020511423345883
14,4,-1.0241821526287649,-1.03125005591027,0.07644886623737412,-0.7727286599322536,22.0,1771020511424479249,1771020511425632390
15,4,-1.0225398483295984,-1.0308665490095967,0.16571550645466337,-0.7654042176580145,22.0,1771020511426990108,1771020511428346387
16,4,-1.0208978225512757,-1.0304830421089235,0.21332438123722097,-0.6408886989959361,22.0,1771020511429478634,1771020511430850278
17,4,-1.01925641647352,-1.0300995352082503,0.22019104586932015,-0.6591998046815339,22.0,1771020511431990863,1771020511433338114
18,4,-1.0176153913947343,-1.029332521406904,0.20508438367870196,-0.5786309396649036,22.0,1771020511434479688,1771020511435859836
19,4,-1.0159749058674843,-1.0289490145062308,0.21423993652150086,-0.476088747825556,22.0,1771020511436991515,1771020511438335520
20,4,-1.0143347096096778,-1.0285655076055575,0.20279549546800224,-0.4834131900997951,22.0,1771020511439478380,1771020511440810173
21,4,-1.012695121205723,-1.027798493804211,0.27329325235755375,-0.4467909787285995,22.0,1771020511441991227,1771020511443360236
22,4,-1.0110559901668494,-1.0270314800028646,0.3794976653340243,-0.384533219397567,22.0,1771020511444479228,1771020511445648256
23,4,-1.0094175443339684,-1.0262644662015183,0.2920621356852915,-0.3772087771233279,22.0,1771020511446990643,1771020511448370355
24,4,-1.0077795933223919,-1.0254974524001719,0.4028443250831615,-0.26367992187262157,22.0,1771020511449479752,1771020511450848893
25,4,-1.0061420760574928,-1.0247304385988254,0.35340433973204743,-0.28199102755821936,22.0,1771020511451979511,1771020511453142024
26,4,-1.0045055396620102,-1.0239634247974791,0.3588976714377268,-0.25635547959838245,22.0,1771020511454480459,1771020511455596085
27,4,-1.0028694489015282,-1.0228129040954594,0.4078798791467009,-0.351573229163491,22.0,1771020511456991240,1771020511458208468
28,4,-1.0012341457997536,-1.02166238339344,0.4129154332102436,-0.3588976714377301,22.0,1771020511459477935,1771020511460763342
29,4,-0.9995994822130241,-1.0205118626914202,0.46555986205633726,-0.31128879665517584,22.0,1771020511461991478,1771020511463290937
30,4,-0.997965433784433,-1.0197448488900738,0.4170354319895031,-0.49806207464827335,22.0,1771020511464481280,1771020511465792304
31,4,-0.9963324680224726,-1.0185943281880543,0.43259987182226123,-0.47242652668843643,22.0,1771020511466979207,1771020511468122075
32,4,-0.9947000743693692,-1.0174438074860346,0.5122531815546116,-0.5969420453505014,22.0,1771020511469489623,1771020511470836858
33,4,-0.9930684433771273,-1.016293286784015,0.4751731925412761,-0.5786309396649036,22.0,1771020511471990291,1771020511473313974
34,4,-0.9914377574424809,-1.0151427660819954,0.5067598498489323,-0.6262398144474579,22.0,1771020511474479801,1771020511475786663
35,4,-0.9898079157514431,-1.013992245379976,0.5026398510696728,-0.7104709006012211,22.0,1771020511476979244,1771020511478119086
36,4,-0.988178824900604,-1.012458217777283,0.5388042847987318,-0.6665242469557731,22.0,1771020511479491565,1771020511480819218
37,4,-0.9865507491745534,-1.0113076970752635,0.5772576067384871,-0.8020264290292101,22.0,1771020511481999331,1771020511483148206
38,4,-0.9849237915832617,-1.0093901625718973,0.6074709311197235,-0.8496353038117643,22.0,1771020511484480643,1771020511485637070
