t,pL_tx,pL_ty,pL_tz,pR_tx,pR_ty,pR_tz,ik_err_L,ik_err_R,ik_ok_L,ik_ok_R,left_hip1_joint,left_hip2_joint,left_thigh_joint,left_knee_joint,left_ankle_joint,right_hip1_joint,right_hip2_joint,right_thigh_joint,right_knee_joint,right_ankle_joint
0.050000,-0.000420000,-0.056584518,0.035491698,-0.310851000,-0.056584518,0.034888271,5.548906957e-05,0.000000000e+00,1,1,0.302576911,-0.000000602,0.000001661,-0.805252360,0.502119982,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.052500,-0.000420000,-0.056584518,0.035575247,-0.310851000,-0.056584518,0.034888271,5.997334588e-05,0.000000000e+00,1,1,0.302947702,-0.000000690,0.000001899,-0.806007860,0.502423671,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.055000,-0.000420000,-0.056584518,0.035665137,-0.310851000,-0.056584518,0.034888271,6.465295110e-05,0.000000000e+00,1,1,0.303346988,-0.000000785,0.000002156,-0.806821404,0.502750340,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.057500,-0.000420000,-0.056584518,0.035761409,-0.310851000,-0.056584518,0.034888271,6.943533125e-05,0.000000000e+00,1,1,0.303775329,-0.000000887,0.000002432,-0.807694119,0.503100363,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.060000,-0.000420000,-0.056584518,0.035864081,-0.310851000,-0.056584518,0.034888271,7.427064670e-05,0.000000000e+00,1,1,0.304232968,-0.000000996,0.000002727,-0.808626488,0.503473847,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.062500,-0.000420000,-0.056584518,0.035973147,-0.310851000,-0.056584518,0.034888271,7.912735042e-05,0.000000000e+00,1,1,0.304719944,-0.000001113,0.000003040,-0.809618583,0.503870727,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.065000,-0.000420000,-0.056584518,0.036088579,-0.310851000,-0.056584518,0.034888271,8.398174375e-05,0.000000000e+00,1,1,0.305236146,-0.000001237,0.000003373,-0.810670168,0.504290808,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.067500,-0.000420000,-0.056584518,0.036210324,-0.310851000,-0.056584518,0.034888271,8.881352473e-05,0.000000000e+00,1,1,0.305781331,-0.000001369,0.000003724,-0.811780742,0.504733785,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.070000,-0.000420000,-0.056584518,0.036338306,-0.310851000,-0.056584518,0.034888271,9.360390496e-05,0.000000000e+00,1,1,0.306355140,-0.000001508,0.000004093,-0.812949562,0.505199248,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.072500,-0.000420000,-0.056584518,0.036472427,-0.310851000,-0.056584518,0.034888271,9.833482815e-05,0.000000000e+00,1,1,0.306957096,-0.000001655,0.000004481,-0.814175651,0.505686694,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.075000,-0.000420000,-0.056584518,0.036612565,-0.310851000,-0.056584518,0.034888271,4.506639845e-05,0.000000000e+00,1,1,0.307856505,-0.000001879,0.000005058,-0.816005754,0.506412312,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.077500,-0.000420000,-0.056584518,0.036758576,-0.310851000,-0.056584518,0.034888271,8.279175470e-05,0.000000000e+00,1,1,0.308358678,-0.000002002,0.000005381,-0.817028708,0.506816971,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.080000,-0.000420000,-0.056584518,0.036910294,-0.310851000,-0.056584518,0.034888271,4.454294350e-05,0.000000000e+00,1,1,0.309239286,-0.000002222,0.000005947,-0.818820994,0.507524278,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.082500,-0.000420000,-0.056584518,0.037067530,-0.310851000,-0.056584518,0.034888271,8.750060673e-05,0.000000000e+00,1,1,0.309767647,-0.000002351,0.000006288,-0.819897379,0.507948226,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.085000,-0.000420000,-0.056584518,0.037230075,-0.310851000,-0.056584518,0.034888271,4.759351771e-05,0.000000000e+00,1,1,0.310703350,-0.000002587,0.000006890,-0.821801711,0.508696352,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.087500,-0.000420000,-0.056584518,0.037397697,-0.310851000,-0.056584518,0.034888271,9.338147477e-05,0.000000000e+00,1,1,0.311264958,-0.000002726,0.000007252,-0.822945707,0.509144885,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.090000,-0.000420000,-0.056584518,0.037570146,-0.310851000,-0.056584518,0.034888271,5.069565779e-05,0.000000000e+00,1,1,0.312256258,-0.000002977,0.000007890,-0.824962918,0.509933538,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.092500,-0.000420000,-0.056584518,0.037747151,-0.310851000,-0.056584518,0.034888271,9.885707781e-05,0.000000000e+00,1,1,0.312848317,-0.000003125,0.000008272,-0.826168773,0.510404027,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.095000,-0.000420000,-0.056584518,0.037928422,-0.310851000,-0.056584518,0.034888271,5.353048228e-05,0.000000000e+00,1,1,0.313889118,-0.000003392,0.000008941,-0.828286389,0.511227670,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
