t,pL_tx,pL_ty,pL_tz,pR_tx,pR_ty,pR_tz,ik_err_L,ik_err_R,ik_ok_L,ik_ok_R,left_hip1_joint,left_hip2_joint,left_thigh_joint,left_knee_joint,left_ankle_joint,right_hip1_joint,right_hip2_joint,right_thigh_joint,right_knee_joint,right_ankle_joint
0.050000,-0.000420000,-0.053516813,0.035439929,-0.310851000,-0.059652222,0.034888271,8.721237143e-05,9.796377663e-05,1,1,0.308361165,-0.000001967,0.000005389,-0.806006346,0.503673153,0.294073283,-0.000001381,-0.000003812,-0.798878241,0.498303998
0.052500,-0.000420000,-0.053210658,0.035517897,-0.310851000,-0.059958378,0.034888271,3.007122226e-05,2.642229347e-05,1,1,0.309515507,-0.000002248,0.000006132,-0.807020462,0.504231721,0.293298938,-0.000001564,-0.000004308,-0.798693540,0.498071294
0.055000,-0.000420000,-0.052891209,0.035602174,-0.310851000,-0.060277827,0.034888271,9.589120845e-05,8.781351505e-05,1,1,0.310314521,-0.000002435,0.000006649,-0.807698385,0.504611104,0.292784326,-0.000001683,-0.000004639,-0.798596240,0.497924057
0.057500,-0.000420000,-0.052558696,0.035692880,-0.310851000,-0.060610339,0.034888271,3.336158369e-05,2.752962876e-05,1,1,0.311599976,-0.000002750,0.000007477,-0.808862506,0.505241879,0.291982328,-0.000001871,-0.000005153,-0.798410977,0.497684795
0.060000,-0.000420000,-0.052213360,0.035790120,-0.310851000,-0.060955675,0.034888271,3.008960381e-05,9.470543268e-05,1,1,0.312744362,-0.000003028,0.000008215,-0.809903422,0.505803833,0.291426915,-0.000001999,-0.000005510,-0.798304614,0.497525486
0.062500,-0.000420000,-0.051855450,0.035893982,-0.310851000,-0.061313585,0.034888271,3.113659323e-05,2.970363398e-05,1,1,0.313925594,-0.000003316,0.000008977,-0.810986050,0.506385453,0.290561153,-0.000002202,-0.000006065,-0.798100441,0.497265975
0.065000,-0.000420000,-0.051485225,0.036004539,-0.310851000,-0.061683810,0.034888271,3.253099190e-05,2.633124986e-05,1,1,0.315159114,-0.000003616,0.000009774,-0.812129718,0.506995735,0.289799449,-0.000002379,-0.000006553,-0.797925824,0.497039106
0.067500,-0.000420000,-0.051102954,0.036121848,-0.310851000,-0.062066082,0.034888271,3.395651910e-05,2.693267622e-05,1,1,0.316445975,-0.000003931,0.000010606,-0.813336598,0.507635400,0.289022222,-0.000002560,-0.000007051,-0.797749383,0.496808111
0.070000,-0.000420000,-0.050708914,0.036245950,-0.310851000,-0.062460122,0.034888271,3.538458750e-05,2.778229366e-05,1,1,0.317785802,-0.000004261,0.000011471,-0.814606792,0.508304237,0.288220545,-0.000002746,-0.000007565,-0.797565562,0.496569308
0.072500,-0.000420000,-0.050303391,0.036376872,-0.310851000,-0.062865644,0.034888271,3.681087509e-05,2.863302859e-05,1,1,0.319177993,-0.000004605,0.000012372,-0.815940031,0.509001867,0.287394097,-0.000002937,-0.000008094,-0.797373531,0.496322380
0.075000,-0.000420000,-0.049886683,0.036514621,-0.310851000,-0.063282353,0.034888271,3.823320656e-05,2.946753590e-05,1,1,0.320621840,-0.000004963,0.000013305,-0.817335863,0.509727827,0.286543293,-0.000003134,-0.000008639,-0.797173094,0.496067364
0.077500,-0.000420000,-0.049459092,0.036659192,-0.310851000,-0.063709944,0.034888271,3.964957085e-05,3.028405444e-05,1,1,0.322116539,-0.000005336,0.000014273,-0.818793669,0.510481579,0.285668629,-0.000003337,-0.000009199,-0.796964140,0.495804338
0.080000,-0.000420000,-0.049020932,0.036810562,-0.310851000,-0.064148104,0.034888271,4.105793877e-05,3.108193111e-05,1,1,0.323661194,-0.000005723,0.000015273,-0.820312676,0.511262511,0.284770627,-0.000003544,-0.000009774,-0.796746570,0.495533393
0.082500,-0.000420000,-0.048572524,0.036968691,-0.310851000,-0.064596512,0.034888271,4.245625171e-05,3.186060403e-05,1,1,0.325254819,-0.000006125,0.000016305,-0.821891954,0.512069944,0.283849828,-0.000003757,-0.000010363,-0.796520296,0.495254625
