cycle_idx,motor_id,commanded_position_rad,actual_position_rad,motor_velocity_rads,motor_torque_nm,motor_temperature_c,commanded_timestamp_ns,feedback_timestamp_ns
0,4,-1.047194477615091,-1.0327840835129627,-0.07003997924741323,-1.5637684255500917,22.0,1771020117395876051,1771020117397146358
1,4,-1.0455546000078657,-1.0324005766122895,0.06179998168889589,-1.461226233710744,22.0,1771020117398370221,1771020117399610106
2,4,-1.0439098976194892,-1.0327840835129627,-0.012359996337778512,-1.4758751182592222,22.0,1771020117400872075,1771020117402003819
3,4,-1.0422652396270031,-1.0324005766122895,0.01510666219061818,-1.402630695516831,22.0,1771020117403358023,1771020117404449264
4,4,-1.040621045854999,-1.0324005766122895,0.007324442274239118,-1.2854396191290052,22.0,1771020117405870494,1771020117407070632
5,4,-1.0389769961766004,-1.0324005766122895,-0.02334665974913719,-1.1902218695638966,22.0,1771020117408371029,1771020117409757686
6,4,-1.0373336043268135,-1.0324005766122895,0.015564439832758126,-1.1243018890957313,22.0,1771020117410859774,1771020117412028025
7,4,-1.0356907777165496,-1.0324005766122895,0.027008880886256748,-1.1169774468214921,22.0,1771020117413372437,1771020117414662329
8,4,-1.0340487260941595,-1.0324005766122895,0.09475997192297192,-1.0144352549821445,22.0,1771020117415858699,1771020117416825212
9,4,-1.032407567713083,-1.0320170697116162,0.07370220038453446,-1.0290841395306227,22.0,1771020117418371027,1771020117419768903
10,4,-1.0307671380147825,-1.0320170697116162,0.010986663411358677,-0.9631641590624707,22.0,1771020117420858837,1771020117421982140
11,4,-1.029127641428929,-1.0320170697116162,0.006866664632099173,-0.9338663899655142,22.0,1771020117423361078,1771020117424425722
12,4,-1.0274894629113975,-1.0316335628109432,0.01693777275917796,-0.8972441785943186,22.0,1771020117425858146,1771020117426905188
13,4,-1.0258525106313785,-1.03125005591027,0.11810663167210911,-0.893581957457199,22.0,1771020117428370882,1771020117429768102
14,4,-1.024216848254067,-1.0308665490095967,0.11352885525070966,-0.8789330729087208,22.0,1771020117430861795,1771020117432045946
15,4,-1.0225825839215914,-1.0304830421089235,0.19135105441450362,-0.703146458326982,22.0,1771020117433360852,1771020117434451238
16,4,-1.0209497453876586,-1.0300995352082503,0.21607104709006064,-0.6775109103671317,22.0,1771020117435858317,1771020117436824960
17,4,-1.0193187544931595,-1.029716028307577,0.2247688222907196,-0.69215979491561,22.0,1771020117438372060,1771020117439768003
18,4,-1.0176892766336139,-1.0289490145062308,0.20096438489944246,-0.6482131412701753,22.0,1771020117440859827,1771020117442030101
19,4,-1.016061604946445,-1.0285655076055575,0.254524369029816,-0.5017242957853929,22.0,1771020117443360941,1771020117444483775
20,4,-1.0144359497202033,-1.0281820007048843,0.21332438123722097,-0.5346842860194689,22.0,1771020117445858577,1771020117446862066
21,4,-1.0128122596607085,-1.0274149869035378,0.3062532425916331,-0.5200354014709907,22.0,1771020117448370912,1771020117449789227
22,4,-1.0111906831053024,-1.0266479731021916,0.21744438001648048,-0.4687643055513169,22.0,1771020117450860270,1771020117451978886
23,4,-1.0095714767498662,-1.025880959300845,0.25406659138767607,-0.3479110080263714,22.0,1771020117453361383,1771020117454606429
24,4,-1.007954382427386,-1.0251139454994986,0.2829065828424926,-0.3588976714377301,22.0,1771020117455861660,1771020117457009713
25,4,-1.006339897693856,-1.0239634247974791,0.3543198950163273,-0.36255989257484966,22.0,1771020117458360847,1771020117459675068
26,4,-1.004727792665927,-1.0231964109961327,0.3419598986785488,-0.3881954405346866,22.0,1771020117460860598,1771020117462066594
27,4,-1.0031184717170316,-1.0224293971947862,0.26093325601977524,-0.3772087771233279,22.0,1771020117463360674,1771020117464614597
