cycle_idx,motor_id,commanded_position_rad,actual_position_rad,motor_velocity_rads,motor_torque_nm,motor_temperature_c,commanded_timestamp_ns,feedback_timestamp_ns
0,4,-1.0471969506156753,-1.0266479731021916,-0.003204443494979614,-2.054506057924126,22.0,1771020093700311254,1771020093701686735
1,4,-1.0463771936462674,-1.0266479731021916,0.018311105685597795,-2.113101596118052,22.0,1771020093702783480,1771020093703991305
2,4,-1.0455548911517587,-1.0266479731021916,0.08239997558519341,-2.02154606769005,22.0,1771020093705292346,1771020093706689671
3,4,-1.0447324923039323,-1.0266479731021916,0.004119998779259504,-2.028870509964289,22.0,1771020093707792998,1771020093709200436
4,4,-1.0439100074887158,-1.0266479731021916,-0.06820886867885345,-1.9885860774559738,22.0,1771020093710292552,1771020093711681671
5,4,-1.0430877122286806,-1.0266479731021916,0.035248878444775755,-1.8274483474227132,22.0,1771020093712794355,1771020093713987120
6,4,-1.0422654784064496,-1.0266479731021916,-0.051728873561815436,-1.8091372417371154,22.0,1771020093715293087,1771020093716708777
7,4,-1.0414431848504913,-1.0266479731021916,0.06363109225745567,-1.6809595019379309,22.0,1771020093717779358,1771020093719109940
8,4,-1.040621106361791,-1.0266479731021916,0.03662221137119559,-1.6589861751152135,22.0,1771020093720292264,1771020093721703804
9,4,-1.039799033313218,-1.0262644662015183,0.027008880886256748,-1.6040528580584068,22.0,1771020093722779812,1771020093723909836
10,4,-1.038977247000774,-1.0266479731021916,0.009155552842798897,-1.5124973296304178,22.0,1771020093725292189,1771020093726536046
11,4,-1.0381553347029695,-1.0266479731021916,0.04577776421399449,-1.3660084841456355,22.0,1771020093727778800,1771020093728872149
12,4,-1.0373338343642051,-1.0262644662015183,0.027466658528396692,-1.3843195898312333,22.0,1771020093730281387,1771020093731399190
13,4,-1.0365122814300711,-1.0266479731021916,-0.05127109591967549,-1.278115176854766,22.0,1771020093732778432,1771020093733858867
14,4,-1.0356910070043672,-1.0262644662015183,0.02426221503341708,-1.2891018402661247,22.0,1771020093735280370,1771020093736587417
15,4,-1.0348699241671888,-1.0262644662015183,-0.024719992675557023,-1.2598040711691683,22.0,1771020093737780011,1771020093738949129
16,4,-1.0340490212712667,-1.0262644662015183,0.006866664632099173,-1.1938840907010162,22.0,1771020093740290912,1771020093741554011
17,4,-1.0332281567029553,-1.0262644662015183,-0.0370799890133372,-1.1755729850154184,22.0,1771020093742779135,1771020093743901412
18,4,-1.0324076756810936,-1.025880959300845,0.04623554185613443,-1.2085329752494944,22.0,1771020093745280679,1771020093746584945
19,4,-1.0315873719009054,-1.025880959300845,0.06363109225745567,-1.0730307931760574,22.0,1771020093747781248,1771020093748922654
20,4,-1.0307673715329462,-1.025880959300845,0.04623554185613443,-1.1828974272896575,22.0,1771020093750291550,1771020093751553635
21,4,-1.0299475251939254,-1.025880959300845,0.021057771538437464,-0.985137485885188,22.0,1771020093752778707,1771020093754037902
22,4,-1.029127985909207,-1.0254974524001719,0.069124423963135,-1.0254219183935032,22.0,1771020093755291935,1771020093756675406
23,4,-1.0283087567690998,-1.0254974524001719,0.08606219672231297,-0.9448530533768729,22.0,1771020093757781303,1771020093758946682
24,4,-1.0274897370533114,-1.0251139454994986,0.14419995727408597,-0.9631641590624707,22.0,1771020093760281485,1771020093761594493
25,4,-1.0266710743711795,-1.0251139454994986,0.04440443128757465,-0.8789330729087208,22.0,1771020093762781478,1771020093763936118
26,4,-1.0258526935791488,-1.0247304385988254,0.21240882595294108,-0.9045686208685577,22.0,1771020093765290732,1771020093766687937
27,4,-1.0250347316486612,-1.0243469316981524,0.069124423963135,-0.8020264290292101,22.0,1771020093767780553,1771020093768931728
28,4,-1.0242170781342133,-1.0239634247974791,0.20096438489944246,-0.7910397656178514,22.0,1771020093770292498,1771020093771682203
29,4,-1.0233996437052026,-1.0239634247974791,0.13870662556840663,-0.8020264290292101,22.0,1771020093772779150,1771020093774030920
30,4,-1.0225827570772164,-1.023579917896806,0.1597643971068441,-0.7983642078920905,22.0,1771020093775290824,1771020093776591067
31,4,-1.0217662134399645,-1.0231964109961327,0.04211554307687493,-0.7654042176580145,22.0,1771020093777779536,1771020093778908668
32,4,-1.0209499624418372,-1.0231964109961327,0.08148442030091352,-0.7507553331095362,22.0,1771020093780291791,1771020093781680165
33,4,-1.0201342415890602,-1.0228129040954594,0.07461775566881435,-0.736106448561058,22.0,1771020093782780358,1771020093783909108
34,4,-1.0193188617681066,-1.0224293971947862,0.10849330118717027,-0.7983642078920905,22.0,1771020093785292638,1771020093786679580
35,4,-1.0185039409316605,-1.022045890294113,0.16983550523392288,-0.6994842371898491,22.0,1771020093787780959,1771020093789113415
36,4,-1.0176894245032013,-1.02166238339344,0.12588885158848817,-0.6555375835444144,22.0,1771020093790284637,1771020093791631480
37,4,-1.0168754409969822,-1.0212788764927667,0.15335551011688486,-0.6372264778588166,22.0,1771020093792781854,1771020093793941552
38,4,-1.0160618574044182,-1.0205118626914202,0.18219550157170472,-0.6042664876247406,22.0,1771020093795292015,1771020093796679754
39,4,-1.0152487806821202,-1.0205118626914202,0.09567552720725181,-0.7214575640125798,22.0,1771020093797780803,1771020093798948622
40,4,-1.0144362226704167,-1.0197448488900738,0.22934659871211904,-0.7544175542466558,22.0,1771020093800291985,1771020093801684196
41,4,-1.013624064983504,-1.0193613419894008,0.1982177190466028,-0.8130130924405687,22.0,1771020093802781030,1771020093804107383
42,4,-1.0128124939687753,-1.0189778350887275,0.20599993896298185,-0.7873775444807318,22.0,1771020093805292263,1771020093806676050
43,4,-1.0120014555204024,-1.0185943281880543,0.19684438612018296,-0.7983642078920905,22.0,1771020093807781914,1771020093809109305
