cycle_idx,motor_id,commanded_position_rad,actual_position_rad,motor_velocity_rads,motor_torque_nm,motor_temperature_c,commanded_timestamp_ns,feedback_timestamp_ns
0,1,0.3,-0.29721784802174006,-0.01876888332773774,-0.6958220160527295,25.0,1772930959624957382,1772930959626343284
0,2,0.0,0.0011505207020196064,-0.10071108127079342,-0.2911465804010116,25.0,1772930959626386569,1772930959627698198
0,3,0.0,0.0007670138013464044,-0.10681478316599269,-0.16113773003326726,25.0,1772930959627738075,1772930959629130072
0,4,-0.8,-0.8084325466191324,-0.03616443372905731,0.9155552842799164,25.0,1772930959629163136,1772930959630493244
0,5,0.5,0.5346086195384577,-0.08594012268441054,-1.2840662862025813,26.0,1772930959630526493,1772930959631731899
0,6,0.3,0.2929992721143348,-0.004577776421399449,1.2854396191289919,25.0,1772930959631762030,1772930959633100741
0,7,0.0,-0.002301041404039213,-0.09308145390178879,0.5053865169225125,25.0,1772930959633134089,1772930959634190664
0,8,0.0,-0.0003835069006732022,0.09918515579698806,0.15564439832758126,25.0,1772930959634211512,1772930959635083105
0,9,-0.8,0.8260738640500997,-0.0009155552842798897,-2.6514481032746406,25.0,1772930959635102560,1772930959636064426
0,10,0.5,-0.5606870887842369,0.03894161809137131,2.7471236304818882,29.0,1772930959636082965,1772930959637261058
1,1,0.3,-0.29721784802174006,0.01693777275917796,-0.6408886989959361,25.0,1772930959637447825,1772930959638676256
1,2,0.0,0.0011505207020196064,0.02441480758079706,-0.28565324869533226,25.0,1772930959638709820,1772930959640114889
1,3,0.0,0.0007670138013464044,0.035096285897395774,-0.11902218695639233,25.0,1772930959640149233,1772930959641159805
1,4,-0.8,-0.8088160535198057,-0.029755546739098082,0.9778130436109489,25.0,1772930959641181415,1772930959642166461
1,5,0.5,0.5346086195384577,-0.004028443250831515,-1.2814722128971217,26.0,1772930959642191374,1772930959643239633
1,6,0.3,0.29338277901500803,0.024719992675557023,1.3110751670888288,25.0,1772930959643264292,1772930959644278445
1,7,0.0,-0.002301041404039213,0.19379253517257666,0.38270210882900724,25.0,1772930959644302988,1772930959645467424
1,8,0.0,-0.0007670138013464044,0.30365916928617454,0.13550218207342368,25.0,1772930959645499191,1772930959646587015
1,9,-0.8,0.8260738640500997,-0.056306649983214885,-2.5269325846125623,25.0,1772930959646612978,1772930959647694255
1,10,0.5,-0.5606870887842369,0.00805688650166303,2.7865535447248755,29.0,1772930959647717314,1772930959648726820
2,1,0.3005183744537781,-0.29760135492241324,-0.03524887844477742,-0.6299020355845775,25.0,1772930959648852762,1772930959649877248
2,2,-1.1639413240265275e-07,0.0011505207020196064,-0.26093325601977413,-0.254524369029816,25.0,1772930959649900053,1772930959651153374
2,3,3.3581946080754273e-07,0.0011505207020196064,0.23804437391278244,-0.07690664387951074,25.0,1772930959651185256,1772930959652277896
2,4,-0.801058024326233,-0.8091995604204789,-0.07873775444807218,1.0547196874904596,25.0,1772930959652302946,1772930959653277498
2,5,0.5004280999017365,0.5342251126377846,-0.13159581286050104,-1.2814722128971217,26.0,1772930959653300265,1772930959654466042
2,6,0.3,0.29338277901500803,-0.028839991454816527,1.1828974272896442,25.0,1772930959654497649,1772930959655735532
2,7,0.0,-0.002301041404039213,0.10071108127078787,0.41566209906308327,25.0,1772930959655767656,1772930959657054561
2,8,0.0,-0.0007670138013464044,0.02441480758079706,0.012817773979918456,25.0,1772930959657088476,1772930959658142435
2,9,-0.8,0.8260738640500997,-0.004119998779259504,-2.7759636219367056,25.0,1772930959658168974,1772930959659277236
2,10,0.5,-0.5603035818835637,0.07788323618274262,2.7466048158207963,29.0,1772930959659299821,1772930959660387432
3,1,0.3021807324003784,-0.29760135492241324,0.005035554063539394,-0.6628620258186535,25.0,1772930959660509732,1772930959661662333
3,2,-5.064375687869323e-07,0.0011505207020196064,-0.1266518143253903,-0.24170659504989755,25.0,1772930959661694443,1772930959662974480
3,3,1.4060503067641257e-06,0.0007670138013464044,-0.2105777153843802,-0.08239997558519008,25.0,1772930959663008411,1772930959664189028
3,4,-0.8044457671455684,-0.8099665742218267,-0.11352885525070966,1.1609241004669268,25.0,1772930959664215661,1772930959665162334
3,5,0.5017953913767577,0.5346086195384577,-0.14233832819605174,-1.2690206610309152,26.0,1772930959665181898,1772930959666166612
3,6,0.3,0.29338277901500803,0.0924710837122722,1.3110751670888288,25.0,1772930959666189183,1772930959667297302
3,7,0.0,-0.002301041404039213,0.26551103244117913,0.36439100314340944,25.0,1772930959667329887,1772930959668538357
3,8,0.0,-0.0003835069006732022,0.09308145390178879,0.07324442274239118,25.0,1772930959668570753,1772930959669891990
3,9,-0.8,0.8260738640500997,0.0,-2.5159459212012036,25.0,1772930959669923505,1772930959671205562
3,10,0.5,-0.5606870887842369,-0.06042664876247272,2.8270210882900466,29.0,1772930959671237114,1772930959672340920
4,1,0.30508082231869266,-0.29760135492241324,0.033417767876215976,-0.7837153233436123,25.0,1772930959672469394,1772930959673588949
4,2,-1.2000013439913746e-06,0.0011505207020196064,-0.07171849726859136,-0.254524369029816,25.0,1772930959673630278,1772930959674990436
4,3,3.272303539177286e-06,0.0007670138013464044,0.08697775200658953,-0.07507553331095096,25.0,1772930959675016639,1772930959676295881
4,4,-0.8103537186865424,-0.8107335880231731,-0.0965910824915317,1.0876796777245357,25.0,1772930959676326714,1772930959677504419
4,5,0.5041648531597712,0.5346086195384577,0.029541917172764443,-1.2223273415326388,26.0,1772930959677535480,1772930959678903293
4,6,0.30000000000000004,0.29338277901500803,0.032502212591936086,1.3367107150486657,25.0,1772930959678934920,1772930959680259301
4,7,0.0,-0.002684548304712415,-0.17853328043458405,0.4742576372569962,25.0,1772930959680290441,1772930959681383036
4,8,0.0,-0.0007670138013464044,-0.17700735496078424,0.029297769096956472,25.0,1772930959681406926,1772930959682637375
4,9,-0.8,0.8260738640500997,0.06363109225745567,-2.504959257789845,25.0,1772930959682668595,1772930959683887051
4,10,0.5,-0.5603035818835637,-0.0067140720847191915,2.8270210882900466,29.0,1772930959683918609,1772930959685169926
5,1,0.31010638026166515,-0.29836836872375966,-0.04715109714041599,-0.9338663899655142,25.0,1772930959685304973,1772930959686321732
